date,country,new_cases,population,continent,pfv_per_hundred,who_region,week,new_cases_per_100k
5/11/2021,Afghanistan,340,40578847,Asia,0.13707635,EMR,5/10/2021,0.837874965
5/20/2021,Afghanistan,453,40578847,Asia,0.19113407,EMR,5/17/2021,1.116345174
5/24/2021,Afghanistan,547,40578847,Asia,0.238819,EMR,5/24/2021,1.347992958
5/26/2021,Afghanistan,840,40578847,Asia,0.2737436,EMR,5/24/2021,2.070044031
5/27/2021,Afghanistan,623,40578847,Asia,0.28029135,EMR,5/24/2021,1.535282656
5/30/2021,Afghanistan,650,40578847,Asia,0.29553822,EMR,5/24/2021,1.601819786
6/2/2021,Afghanistan,1049,40578847,Asia,0.3563433,EMR,5/31/2021,2.5850907
6/3/2021,Afghanistan,1093,40578847,Asia,0.36596653,EMR,5/31/2021,2.693521578
6/8/2021,Afghanistan,1485,40578847,Asia,0.3902107,EMR,6/7/2021,3.659542125
6/14/2021,Afghanistan,1597,40578847,Asia,0.43684337,EMR,6/14/2021,3.935547996
6/22/2021,Afghanistan,1847,40578847,Asia,0.4528517,EMR,6/21/2021,4.551632529
6/27/2021,Afghanistan,1096,40578847,Asia,0.45900762,EMR,6/21/2021,2.700914592
6/30/2021,Afghanistan,1501,40578847,Asia,0.4624429,EMR,6/28/2021,3.698971536
7/5/2021,Afghanistan,1189,40578847,Asia,0.46655342,EMR,7/5/2021,2.930098039
7/7/2021,Afghanistan,1557,40578847,Asia,0.49101937,EMR,7/5/2021,3.836974471
7/11/2021,Afghanistan,801,40578847,Asia,0.54008186,EMR,7/5/2021,1.973934843
8/20/2021,Afghanistan,37,40578847,Asia,1.0614989,EMR,8/16/2021,0.091180511
11/14/2021,Afghanistan,21,40578847,Asia,7.857811,EMR,11/8/2021,0.051751101
12/27/2021,Afghanistan,49,40578847,Asia,9.249213,EMR,12/27/2021,0.120752568
1/9/2022,Afghanistan,40,40578847,Asia,9.387534,EMR,1/3/2022,0.098573525
1/11/2022,Afghanistan,13,40578847,Asia,9.401049,EMR,1/10/2022,0.032036396
1/13/2022,Afghanistan,59,40578847,Asia,9.423101,EMR,1/10/2022,0.14539595
1/17/2022,Afghanistan,59,40578847,Asia,9.445367,EMR,1/17/2022,0.14539595
1/19/2022,Afghanistan,148,40578847,Asia,9.455003,EMR,1/17/2022,0.364722043
1/24/2022,Afghanistan,134,40578847,Asia,9.490923,EMR,1/24/2022,0.33022131
1/26/2022,Afghanistan,356,40578847,Asia,9.527819,EMR,1/24/2022,0.877304375
1/27/2022,Afghanistan,456,40578847,Asia,9.53411,EMR,1/24/2022,1.123738188
1/31/2022,Afghanistan,474,40578847,Asia,9.593252,EMR,1/31/2022,1.168096274
2/2/2022,Afghanistan,970,40578847,Asia,9.641318,EMR,1/31/2022,2.390407988
2/7/2022,Afghanistan,479,40578847,Asia,9.7585,EMR,2/7/2022,1.180417965
2/14/2022,Afghanistan,452,40578847,Asia,9.964748,EMR,2/14/2022,1.113880836
2/20/2022,Afghanistan,60,40578847,Asia,10.167162,EMR,2/14/2022,0.147860288
2/27/2022,Afghanistan,64,40578847,Asia,10.42904,EMR,2/21/2022,0.15771764
3/6/2022,Afghanistan,78,40578847,Asia,10.552134,EMR,2/28/2022,0.192218374
3/17/2022,Afghanistan,254.5,40578847,Asia,10.850156,EMR,3/14/2022,0.627174055
3/22/2022,Afghanistan,75,40578847,Asia,10.892688,EMR,3/21/2022,0.18482536
4/4/2022,Afghanistan,22,40578847,Asia,11.169803,EMR,4/4/2022,0.054215439
4/14/2022,Afghanistan,37,40578847,Asia,11.324881,EMR,4/11/2022,0.091180511
4/18/2022,Afghanistan,31,40578847,Asia,11.343809,EMR,4/18/2022,0.076394482
4/26/2022,Afghanistan,56,40578847,Asia,11.427003,EMR,4/25/2022,0.138002935
4/27/2022,Afghanistan,24,40578847,Asia,11.427941,EMR,4/25/2022,0.059144115
5/5/2022,Afghanistan,4,40578847,Asia,11.505992,EMR,5/2/2022,0.009857353
5/8/2022,Afghanistan,4,40578847,Asia,11.5108,EMR,5/2/2022,0.009857353
5/10/2022,Afghanistan,29,40578847,Asia,11.523797,EMR,5/9/2022,0.071465806
5/15/2022,Afghanistan,23,40578847,Asia,11.608156,EMR,5/9/2022,0.056679777
5/23/2022,Afghanistan,42,40578847,Asia,11.726371,EMR,5/23/2022,0.103502202
6/1/2022,Afghanistan,84,40578847,Asia,11.848333,EMR,5/30/2022,0.207004403
6/15/2022,Afghanistan,58,40578847,Asia,12.132146,EMR,6/13/2022,0.142931612
6/21/2022,Afghanistan,83,40578847,Asia,12.272231,EMR,6/20/2022,0.204540065
6/30/2022,Afghanistan,78,40578847,Asia,12.480468,EMR,6/27/2022,0.192218374
7/10/2022,Afghanistan,3,40578847,Asia,12.581969,EMR,7/4/2022,0.007393014
7/17/2022,Afghanistan,38,40578847,Asia,13.085153,EMR,7/11/2022,0.093644849
7/19/2022,Afghanistan,70,40578847,Asia,15.827717,EMR,7/18/2022,0.172503669
7/27/2022,Afghanistan,234,40578847,Asia,16.194366,EMR,7/25/2022,0.576655123
8/7/2022,Afghanistan,72,40578847,Asia,20.38709,EMR,8/1/2022,0.177432345
8/15/2022,Afghanistan,214,40578847,Asia,23.692087,EMR,8/15/2022,0.52736836
8/22/2022,Afghanistan,332,40578847,Asia,24.08142,EMR,8/22/2022,0.81816026
8/31/2022,Afghanistan,246,40578847,Asia,24.49451,EMR,8/29/2022,0.60622718
9/4/2022,Afghanistan,99,40578847,Asia,24.553108,EMR,8/29/2022,0.243969475
9/11/2022,Afghanistan,168,40578847,Asia,24.880125,EMR,9/5/2022,0.414008806
9/12/2022,Afghanistan,365,40578847,Asia,24.90337,EMR,9/12/2022,0.899483418
9/19/2022,Afghanistan,251,40578847,Asia,25.106155,EMR,9/19/2022,0.618548871
9/26/2022,Afghanistan,172,40578847,Asia,25.218267,EMR,9/26/2022,0.423866159
9/28/2022,Afghanistan,167,40578847,Asia,25.247595,EMR,9/26/2022,0.411544468
10/4/2022,Afghanistan,247,40578847,Asia,25.329739,EMR,10/3/2022,0.608691519
10/11/2022,Afghanistan,92,40578847,Asia,25.39055,EMR,10/10/2022,0.226719108
10/16/2022,Afghanistan,49,40578847,Asia,25.451824,EMR,10/10/2022,0.120752568
10/24/2022,Afghanistan,120,40578847,Asia,25.596643,EMR,10/24/2022,0.295720576
11/1/2022,Afghanistan,70,40578847,Asia,25.695978,EMR,10/31/2022,0.172503669
11/2/2022,Afghanistan,104,40578847,Asia,25.774382,EMR,10/31/2022,0.256291166
11/8/2022,Afghanistan,158,40578847,Asia,25.850372,EMR,11/7/2022,0.389365425
11/15/2022,Afghanistan,98,40578847,Asia,25.919186,EMR,11/14/2022,0.241505137
11/16/2022,Afghanistan,109,40578847,Asia,25.953608,EMR,11/14/2022,0.268612856
11/27/2022,Afghanistan,76,40578847,Asia,26.090136,EMR,11/21/2022,0.187289698
12/5/2022,Afghanistan,72,40578847,Asia,26.160498,EMR,12/5/2022,0.177432345
12/22/2022,Afghanistan,65,40578847,Asia,26.50356,EMR,12/19/2022,0.160181979
1/6/2023,Afghanistan,48,40578847,Asia,26.67647,EMR,1/2/2023,0.11828823
1/16/2023,Afghanistan,16,40578847,Asia,26.847754,EMR,1/16/2023,0.03942941
1/22/2023,Afghanistan,7,40578847,Asia,27,EMR,1/16/2023,0.017250367
1/29/2023,Afghanistan,3,40578847,Asia,27.026976,EMR,1/23/2023,0.007393014
2/12/2023,Afghanistan,16,40578847,Asia,27.215536,EMR,2/6/2023,0.03942941
2/14/2023,Afghanistan,35,40578847,Asia,27.262075,EMR,2/13/2023,0.086251835
2/19/2023,Afghanistan,2,40578847,Asia,28.737843,EMR,2/13/2023,0.004928676
2/23/2023,Afghanistan,14,40578847,Asia,29.288944,EMR,2/20/2023,0.034500734
2/26/2023,Afghanistan,14,40578847,Asia,30.747532,EMR,2/20/2023,0.034500734
2/28/2023,Afghanistan,42,40578847,Asia,31.354158,EMR,2/27/2023,0.103502202
3/5/2023,Afghanistan,3,40578847,Asia,32.867115,EMR,2/27/2023,0.007393014
3/12/2023,Afghanistan,22,40578847,Asia,33.37287,EMR,3/6/2023,0.054215439
3/14/2023,Afghanistan,24,40578847,Asia,33.37779,EMR,3/13/2023,0.059144115
