continent,who_region,country,week,new_cases_per_100k,pfv_per_hundred,population
Africa,AFR,Algeria,2021-08-16,1.526033013,1.5937854,45477391.0
Africa,AFR,Algeria,2021-08-30,0.864165669,6.5966845,45477391.0
Africa,AFR,Algeria,2021-09-20,0.365016542,8.868015,45477391.0
Africa,AFR,Algeria,2021-10-18,0.147325954,10.449001,45477391.0
Africa,AFR,Algeria,2021-10-25,0.2165911405,10.5676125,45477391.0
Africa,AFR,Algeria,2021-11-01,0.250674011,10.713258,45477391.0
Africa,AFR,Algeria,2021-11-08,0.238580089,10.805073499999999,45477391.0
Africa,AFR,Algeria,2021-11-15,0.316640856,11.650941,45477391.0
Africa,AFR,Algeria,2021-11-22,0.32213809299999996,11.713784,45477391.0
Africa,AFR,Algeria,2021-11-29,0.4001988595,11.842827,45477391.0
Africa,AFR,Algeria,2021-12-13,0.461767915,12.214206,45477391.0
Africa,AFR,Algeria,2021-12-20,0.534331444,12.333689,45477391.0
Africa,AFR,Algeria,2022-01-03,0.936729198,12.745745,45477391.0
Africa,AFR,Algeria,2022-02-07,1.103845205,13.201151,45477391.0
Africa,AFR,Algeria,2022-02-14,0.551922603,13.361083,45477391.0
Africa,AFR,Algeria,2022-03-07,0.057171266,13.436813,45477391.0
Africa,AFR,Algeria,2022-04-18,0.014292816,14.251447,45477391.0
Africa,AFR,Algeria,2022-04-25,0.002198895,14.251447,45477391.0
Africa,AFR,Algeria,2022-08-29,0.046176791,14.251447,45477391.0
Africa,AFR,Angola,2021-05-10,0.760487686,0.11279632,35635028.0
Africa,AFR,Angola,2021-05-17,0.5233614520000001,0.28310065,35635028.0
Africa,AFR,Angola,2021-05-24,0.869930564,0.5526304,35635028.0
Africa,AFR,Angola,2021-05-31,0.521958338,0.6459403,35635028.0
Africa,AFR,Angola,2021-06-07,0.326925518,1.1552313,35635028.0
Africa,AFR,Angola,2021-06-14,0.3114912665,1.4116153,35635028.0
Africa,AFR,Angola,2021-06-21,0.359197136,1.4692847,35635028.0
Africa,AFR,Angola,2021-06-28,0.078574374,1.5293688,35635028.0
Africa,AFR,Angola,2021-07-05,0.162761202,1.5762243,35635028.0
Africa,AFR,Angola,2021-07-12,0.216079527,1.6832539,35635028.0
Africa,AFR,Angola,2021-07-19,0.275010307,1.7796085,35635028.0
Africa,AFR,Angola,2021-08-02,0.294653901,1.9927387,35635028.0
Africa,AFR,Angola,2021-08-09,0.196435934,2.0278082,35635028.0
Africa,AFR,Angola,2021-08-16,0.3283286325,2.0423837999999996,35635028.0
Africa,AFR,Angola,2021-08-23,0.740844093,2.0513804,35635028.0
Africa,AFR,Angola,2021-08-30,0.597726484,2.583329,35635028.0
Africa,AFR,Angola,2021-09-06,0.883961702,2.6896372,35635028.0
Africa,AFR,Angola,2021-09-13,0.277816535,2.760169,35635028.0
Africa,AFR,Angola,2021-09-20,1.445207227,2.8251193,35635028.0
Africa,AFR,Angola,2021-10-04,0.996210807,3.3982546,35635028.0
Africa,AFR,Angola,2021-10-11,0.979373441,3.6204603,35635028.0
Africa,AFR,Angola,2021-10-18,0.3339410875,4.17027045,35635028.0
Africa,AFR,Angola,2021-10-25,0.193629706,4.6750264,35635028.0
